,Provider,Name,Longitude,Latitude,Elevation,year,month,HNsum,HSmean_gapfill,HSmax_gapfill
1216248,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,1,,57.6451612903226,114.0
1216249,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,2,,87.3214285714286,142.0
1216250,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,3,,194.258064516129,275.0
1216251,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,4,,181.1,235.0
1216252,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,5,,165.354838709677,208.0
1216253,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,6,,,
1216254,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,7,,,
1216255,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,8,,,
1216256,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,9,,,
1216257,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,10,,,
1216258,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,11,,32.1333333333333,49.0
1216259,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,1999,12,,33.741935483871,63.0
1216260,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,1,,46.8064516129032,60.0
1216261,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,2,,54.551724137931,75.0
1216262,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,3,,,
1216263,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,4,,114.766666666667,245.0
1216264,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,5,,133.58064516129,253.0
1216265,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,6,,49.7,83.0
1216266,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,7,,,
1216267,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,8,,,
1216268,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,9,,,
1216269,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,10,,27.4516129032258,63.0
1216270,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,11,,81.3333333333333,124.0
1216271,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2000,12,,99.1612903225806,112.0
1216272,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,1,,95.741935483871,108.0
1216273,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,2,,132.071428571429,177.0
1216274,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,3,,272.225806451613,335.0
1216275,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,4,,245.433333333333,271.0
1216276,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,5,,296.483870967742,362.0
1216277,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,6,,196.9,259.0
1216278,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,7,,,
1216279,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,8,,,
1216280,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,9,,,
1216281,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,10,,0.0,0.0
1216282,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,11,,7.0,18.0
1216283,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2001,12,,9.87096774193548,27.0
1216284,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,1,,20.4838709677419,29.0
1216285,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,2,,68.75,125.0
1216286,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,3,,127.535714285714,167.0
1216287,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,4,,156.6,186.0
1216288,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,5,,204.709677419355,269.0
1216289,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,6,,79.2,173.0
1216290,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,7,,,
1216291,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,8,,,
1216292,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,9,,,
1216293,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,10,,,
1216294,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,11,,54.1,149.0
1216295,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2002,12,,158.774193548387,178.0
1216296,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,1,,165.41935483871,180.0
1216297,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,2,,195.75,227.0
1216298,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,3,,216.655172413793,253.0
1216299,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,4,,129.433333333333,187.0
1216300,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,5,,102.258064516129,159.0
1216301,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,6,,22.6,56.0
1216302,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,7,,,
1216303,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,8,,,
1216304,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,9,,,
1216305,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,10,,,
1216306,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,11,,67.1,107.0
1216307,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2003,12,,136.516129032258,190.0
1216308,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,1,,157.322580645161,192.0
1216309,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,2,,,
1216310,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,3,,,
1216311,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,4,,296.827586206897,378.0
1216312,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,5,,253.58064516129,312.0
1216313,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,6,,83.7666666666667,174.0
1216314,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,7,,,
1216315,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,8,,,
1216316,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,9,,,
1216317,FR_METEOFRANCE,Bonneval_nivose,7.05066666666667,45.351,2740.0,2004,10,,,
