,Provider,Name,Longitude,Latitude,Elevation,year,month,HNsum,HSmean_gapfill,HSmax_gapfill
248892,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,1,,51.4666666666667,59.0
248893,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,2,,,
248894,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,3,,44.8387096774194,83.0
248895,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,4,,1.56666666666667,8.0
248896,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,5,,,
248897,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,6,,0.0,0.0
248898,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,7,,0.0,0.0
248899,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,8,,0.0,0.0
248900,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,9,,,
248901,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,10,,0.0,0.0
248902,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,11,,10.2068965517241,48.0
248903,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1965,12,,83.741935483871,123.0
248904,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,1,,86.2,107.0
248905,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,2,,,
248906,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,3,,31.5806451612903,54.0
248907,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,4,,2.33333333333333,17.0
248908,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,5,,,
248909,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,6,,0.0,0.0
248910,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,7,,0.0,0.0
248911,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,8,,0.0,0.0
248912,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,9,,,
248913,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,10,,0.0,0.0
248914,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,11,,10.1724137931034,44.0
248915,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1966,12,,58.3548387096774,79.0
248916,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,1,,46.1935483870968,60.0
248917,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,2,,35.5357142857143,80.0
248918,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,3,,22.9677419354839,42.0
248919,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,4,,5.86666666666667,19.0
248920,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,5,,,
248921,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,6,,0.0,0.0
248922,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,7,,0.0,0.0
248923,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,8,,0.0,0.0
248924,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,9,,,
248925,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,10,,0.129032258064516,3.0
248926,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,11,,1.82758620689655,15.0
248927,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1967,12,,,
248928,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,1,,38.0322580645161,57.0
248929,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,2,,41.0344827586207,62.0
248930,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,3,,38.8064516129032,49.0
248931,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,4,,5.5,18.0
248932,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,5,,,
248933,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,6,,0.0333333333333333,1.0
248934,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,7,,0.0,0.0
248935,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,8,,0.0,0.0
248936,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,9,,0.0333333333333333,1.0
248937,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,10,,0.0,0.0
248938,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,11,,13.9655172413793,44.0
248939,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1968,12,,,
248940,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1969,1,,61.258064516129,119.0
248941,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1969,2,,75.5714285714286,87.0
248942,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1969,3,,51.448275862069,70.0
248943,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1969,4,,9.03333333333333,34.0
248944,AT_HZB,Pragraten,12.3755555555556,47.0180555555556,1340.0,1969,5,,,
