,Provider,Name,Longitude,Latitude,Elevation,year,month,HNsum,HSmean_gapfill,HSmax_gapfill
558036,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,1,,,
558037,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,2,,1.48275862068966,7.0
558038,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,3,,,
558039,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,4,,,
558040,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,5,,,
558041,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,6,,,
558042,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,7,,,
558043,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,8,,,
558044,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,9,,,
558045,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,10,,,
558046,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,11,,,
558047,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1996,12,,,
558048,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,1,,,
558049,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,2,,0.0,0.0
558050,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,3,,,
558051,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,4,,,
558052,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,5,,,
558053,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,6,,,
558054,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,7,,,
558055,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,8,,,
558056,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,9,,,
558057,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,10,,,
558058,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,11,,,
558059,CH_METEOSWISS,Sissach,7.803355148022,47.4643746758006,380.0,1997,12,,,
