,Provider,Name,Longitude,Latitude,Elevation,year,month,HNsum,HSmean_gapfill,HSmax_gapfill
559404,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,1,31.0,10.6129032258065,24.0
559405,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,2,37.0,12.551724137931,23.0
559406,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,3,77.0,7.67741935483871,35.0
559407,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,4,3.0,0.1,1.0
559408,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,5,0.0,0.0,0.0
559409,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,6,0.0,0.0,0.0
559410,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,7,0.0,0.0,0.0
559411,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,8,0.0,0.0,0.0
559412,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,9,0.0,0.0,0.0
559413,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,10,0.0,0.0,0.0
559414,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,11,21.0,0.833333333333333,20.0
559415,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1964,12,69.0,10.6451612903226,40.0
559416,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,1,46.0,7.70967741935484,18.0
559417,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,2,105.0,27.3214285714286,45.0
559418,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,3,35.0,14.6129032258065,43.0
559419,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,4,32.0,1.66666666666667,20.0
559420,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,5,0.0,0.0,0.0
559421,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,6,0.0,0.0,0.0
559422,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,7,0.0,0.0,0.0
559423,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,8,0.0,0.0,0.0
559424,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,9,0.0,0.0,0.0
559425,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,10,0.0,0.0,0.0
559426,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,11,56.0,4.83333333333333,36.0
559427,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1965,12,39.0,2.45161290322581,12.0
559428,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,1,66.0,15.5806451612903,60.0
559429,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,2,0.0,0.0,0.0
559430,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,3,46.0,3.03225806451613,19.0
559431,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,4,0.0,0.0,0.0
559432,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,5,0.0,0.0,0.0
559433,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,6,0.0,0.0,0.0
559434,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,7,0.0,0.0,0.0
559435,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,8,0.0,0.0,0.0
559436,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,9,0.0,0.0,0.0
559437,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,10,1.0,0.032258064516129,1.0
559438,CH_METEOSWISS,St_Gallen,9.3985161714995,47.4254774516025,775.0,1966,11,97.0,11.0333333333333,43.0
