,Provider,Name,Longitude,Latitude,Elevation,year,month,HNsum,HSmean_gapfill,HSmax_gapfill
569184,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,1,155.0,,
569185,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,2,10.0,,
569186,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,3,53.0,,
569187,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,4,9.0,,
569188,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,5,,,
569189,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,6,,,
569190,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,7,,,
569191,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,8,,,
569192,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,9,,,
569193,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,10,,,
569194,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,11,,,
569195,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1968,12,37.0,,
569196,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,1,30.0,,
569197,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,2,17.0,,
569198,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,3,2.0,,
569199,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,4,0.0,,
569200,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,5,,,
569201,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,6,,,
569202,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,7,,,
569203,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,8,,,
569204,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,9,,,
569205,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,10,,,
569206,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,11,,,
569207,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1969,12,15.0,,
569208,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,1,6.0,,
569209,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,2,82.0,,
569210,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,3,20.0,,
569211,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,4,16.0,,
569212,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,5,,,
569213,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,6,,,
569214,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,7,,,
569215,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,8,,,
569216,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,9,,,
569217,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,10,,,
569218,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,11,,,
569219,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1970,12,,,
569220,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,1,19.0,,
569221,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,2,56.0,,
569222,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,3,6.0,,
569223,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,4,,,
569224,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,5,,,
569225,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,6,,,
569226,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,7,,,
569227,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,8,,,
569228,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,9,,,
569229,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,10,,,
569230,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,11,,,
569231,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1971,12,,,
569232,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,1,11.0,,
569233,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,2,,,
569234,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,3,6.0,,
569235,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,4,,,
569236,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,5,,,
569237,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,6,,,
569238,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,7,,,
569239,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,8,,,
569240,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,9,,,
569241,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,10,,,
569242,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,11,6.0,,
569243,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1972,12,,,
569244,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,1,25.0,,
569245,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,2,38.0,,
569246,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,3,22.0,,
569247,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,4,,,
569248,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,5,,,
569249,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,6,,,
569250,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,7,,,
569251,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,8,,,
569252,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,9,,,
569253,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,10,,,
569254,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,11,,,
569255,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1973,12,42.0,,
569256,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,1,32.0,,
569257,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,2,33.0,,
569258,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,3,15.0,,
569259,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,4,,,
569260,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,5,,,
569261,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,6,,,
569262,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,7,,,
569263,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,8,,,
569264,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,9,,,
569265,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,10,,,
569266,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,11,58.0,,
569267,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1974,12,,,
569268,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,1,48.0,,
569269,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,2,4.0,,
569270,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,3,,,
569271,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,4,85.0,,
569272,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,5,,,
569273,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,6,,,
569274,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,7,,,
569275,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,8,,,
569276,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,9,,,
569277,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,10,,,
569278,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,11,,,
569279,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1975,12,14.0,,
569280,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,1,43.0,,
569281,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,2,7.0,,
569282,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,3,0.0,,
569283,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,4,7.0,,
569284,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,5,,,
569285,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,6,,,
569286,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,7,,,
569287,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,8,,,
569288,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,9,,,
569289,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,10,,,
569290,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,11,,,
569291,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1976,12,18.0,,
569292,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1977,1,50.0,,
569293,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1977,2,6.0,,
569294,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1977,3,,,
569295,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1977,4,,,
569296,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1977,5,,,
569297,CH_METEOSWISS,Tiefencastel,9.57446241273698,46.6636243562121,897.0,1977,6,,,
